nutri_type,f_name,Nutrient Value (g)
Protein,Apple,0.546
Carbohydrates,Apple,25.116
Fat,Apple,0.364
Fiber,Apple,4.368
Sugar,Apple,18.928
Vitamin A,Apple,0
Vitamin C,Apple,0.0153
Calcium,Apple,0.02
Iron,Apple,0.0002
Protein,Banana,1.298
Carbohydrates,Banana,26.904
Fat,Banana,0.354
Fiber,Banana,3.068
Sugar,Banana,14.396
Vitamin A,Banana,0
Vitamin C,Banana,0.0103
Calcium,Banana,0.0059
Iron,Banana,0.0004
Protein,Orange,1.179
Carbohydrates,Orange,15.458
Fat,Orange,0.131
Fiber,Orange,3.144
Sugar,Orange,12.314
Vitamin A,Orange,0
Vitamin C,Orange,0.0697
Calcium,Orange,0.0524
Iron,Orange,0.0001
Protein,Strawberries,1.216
Carbohydrates,Strawberries,11.704
Fat,Strawberries,0.456
Fiber,Strawberries,3.04
Sugar,Strawberries,7.448
Vitamin A,Strawberries,0
Vitamin C,Strawberries,0.0894
Calcium,Strawberries,0.0243
Iron,Strawberries,0.0006
Protein,Blueberries,1.036
Carbohydrates,Blueberries,21.46
Fat,Blueberries,0.444
Fiber,Blueberries,3.552
Sugar,Blueberries,14.8
Vitamin A,Blueberries,0
Vitamin C,Blueberries,0.0144
Calcium,Blueberries,0.0089
Iron,Blueberries,0.0004
Protein,Grapes,0.906
Carbohydrates,Grapes,27.331
Fat,Grapes,0.302
Fiber,Grapes,1.359
Sugar,Grapes,23.405
Vitamin A,Grapes,0
Vitamin C,Grapes,0.0072
Calcium,Grapes,0.0151
Iron,Grapes,0.0005
Protein,Watermelon,0.912
Carbohydrates,Watermelon,12.16
Fat,Watermelon,0.304
Fiber,Watermelon,0.608
Sugar,Watermelon,9.424
Vitamin A,Watermelon,0.0001
Vitamin C,Watermelon,0.0123
Calcium,Watermelon,0.0167
Iron,Watermelon,0.0003
Protein,Mango,1.32
Carbohydrates,Mango,24.75
Fat,Mango,0.66
Fiber,Mango,2.64
Sugar,Mango,24.42
Vitamin A,Mango,0.0001
Vitamin C,Mango,0.0601
Calcium,Mango,0.0181
Iron,Mango,0.0003
Protein,Pineapple,0.825
Carbohydrates,Pineapple,21.615
Fat,Pineapple,0.165
Fiber,Pineapple,2.31
Sugar,Pineapple,16.335
Vitamin A,Pineapple,0
Vitamin C,Pineapple,0.0789
Calcium,Pineapple,0.0215
Iron,Pineapple,0.0005
Protein,Peach,1.35
Carbohydrates,Peach,14.25
Fat,Peach,0.45
Fiber,Peach,2.25
Sugar,Peach,12.6
Vitamin A,Peach,0
Vitamin C,Peach,0.0099
Calcium,Peach,0.009
Iron,Peach,0.0004
Protein,Broccoli,2.548
Carbohydrates,Broccoli,6.006
Fat,Broccoli,0.364
Fiber,Broccoli,2.366
Sugar,Broccoli,1.547
Vitamin A,Broccoli,0.0001
Vitamin C,Broccoli,0.0812
Calcium,Broccoli,0.0428
Iron,Broccoli,0.0006
Protein,Carrots,0.549
Carbohydrates,Carrots,5.856
Fat,Carrots,0.122
Fiber,Carrots,1.708
Sugar,Carrots,2.867
Vitamin A,Carrots,0.0005
Vitamin C,Carrots,0.0036
Calcium,Carrots,0.0201
Iron,Carrots,0.0002
Protein,Spinach,0.87
Carbohydrates,Spinach,1.08
Fat,Spinach,0.12
Fiber,Spinach,0.66
Sugar,Spinach,0.12
Vitamin A,Spinach,0.0001
Vitamin C,Spinach,0.0084
Calcium,Spinach,0.0297
Iron,Spinach,0.0008
Protein,Tomato,1.107
Carbohydrates,Tomato,4.797
Fat,Tomato,0.246
Fiber,Tomato,1.476
Sugar,Tomato,3.198
Vitamin A,Tomato,0.0001
Vitamin C,Tomato,0.0169
Calcium,Tomato,0.0123
Iron,Tomato,0.0004
Protein,Cucumber,0.364
Carbohydrates,Cucumber,1.872
Fat,Cucumber,0.052
Fiber,Cucumber,0.26
Sugar,Cucumber,0.884
Vitamin A,Cucumber,0
Vitamin C,Cucumber,0.0015
Calcium,Cucumber,0.0083
Iron,Cucumber,0.0002
Protein,Bell Pepper,1.071
Carbohydrates,Bell Pepper,7.14
Fat,Bell Pepper,0.357
Fiber,Bell Pepper,2.499
Sugar,Bell Pepper,4.998
Vitamin A,Bell Pepper,0
Vitamin C,Bell Pepper,0.152
Calcium,Bell Pepper,0.0119
Iron,Bell Pepper,0.0005
Protein,Lettuce,0.658
Carbohydrates,Lettuce,1.363
Fat,Lettuce,0.094
Fiber,Lettuce,0.611
Sugar,Lettuce,0.376
Vitamin A,Lettuce,0.0001
Vitamin C,Lettuce,0.0043
Calcium,Lettuce,0.0169
Iron,Lettuce,0.0003
Protein,Cauliflower,2.033
Carbohydrates,Cauliflower,5.243
Fat,Cauliflower,0.321
Fiber,Cauliflower,2.14
Sugar,Cauliflower,2.033
Vitamin A,Cauliflower,0
Vitamin C,Cauliflower,0.0516
Calcium,Cauliflower,0.0235
Iron,Cauliflower,0.0004
Protein,Zucchini,2.352
Carbohydrates,Zucchini,6.076
Fat,Zucchini,0.588
Fiber,Zucchini,1.96
Sugar,Zucchini,4.9
Vitamin A,Zucchini,0.0001
Vitamin C,Zucchini,0.0351
Calcium,Zucchini,0.0314
Iron,Zucchini,0.0008
Protein,Green Beans,1.8
Carbohydrates,Green Beans,7.1
Fat,Green Beans,0.1
Fiber,Green Beans,3.4
Sugar,Green Beans,3.3
Vitamin A,Green Beans,0
Vitamin C,Green Beans,0.0122
Calcium,Green Beans,0.037
Iron,Green Beans,0.001
Protein,White Rice,4.266
Carbohydrates,White Rice,44.556
Fat,White Rice,0.474
Fiber,White Rice,0.632
Sugar,White Rice,0.158
Vitamin A,White Rice,0
Vitamin C,White Rice,0
Calcium,White Rice,0.0158
Iron,White Rice,0.0003
Protein,Brown Rice,5.07
Carbohydrates,Brown Rice,44.85
Fat,Brown Rice,1.95
Fiber,Brown Rice,3.51
Sugar,Brown Rice,0.78
Vitamin A,Brown Rice,0
Vitamin C,Brown Rice,0
Calcium,Brown Rice,0.0097
Iron,Brown Rice,0.0008
Protein,Pasta,7
Carbohydrates,Pasta,35
Fat,Pasta,1.54
Fiber,Pasta,2.24
Sugar,Pasta,0.84
Vitamin A,Pasta,0
Vitamin C,Pasta,0
Calcium,Pasta,0.0098
Iron,Pasta,0.0013
Protein,Whole Wheat Bread,2.24
Carbohydrates,Whole Wheat Bread,13.44
Fat,Whole Wheat Bread,0.98
Fiber,Whole Wheat Bread,1.904
Sugar,Whole Wheat Bread,0.504
Vitamin A,Whole Wheat Bread,0
Vitamin C,Whole Wheat Bread,0
Calcium,Whole Wheat Bread,0.028
Iron,Whole Wheat Bread,0.0008
Protein,White Bread,1.75
Carbohydrates,White Bread,12.25
Fat,White Bread,0.75
Fiber,White Bread,0.6
Sugar,White Bread,1.25
Vitamin A,White Bread,0
Vitamin C,White Bread,0
Calcium,White Bread,0.03
Iron,White Bread,0.0008
Protein,Oatmeal,5.616
Carbohydrates,Oatmeal,28.08
Fat,Oatmeal,4.446
Fiber,Oatmeal,4.68
Sugar,Oatmeal,0.468
Vitamin A,Oatmeal,0
Vitamin C,Oatmeal,0
Calcium,Oatmeal,0.0234
Iron,Oatmeal,0.0021
Protein,Quinoa,8.14
Carbohydrates,Quinoa,39.405
Fat,Quinoa,3.515
Fiber,Quinoa,5.18
Sugar,Quinoa,1.665
Vitamin A,Quinoa,0
Vitamin C,Quinoa,0
Calcium,Quinoa,0.0314
Iron,Quinoa,0.0028
Protein,Bagel,8.01
Carbohydrates,Bagel,42.72
Fat,Bagel,1.246
Fiber,Bagel,1.78
Sugar,Bagel,4.806
Vitamin A,Bagel,0
Vitamin C,Bagel,0
Calcium,Bagel,0.1068
Iron,Bagel,0.0028
Protein,Tortilla,2.94
Carbohydrates,Tortilla,19.6
Fat,Tortilla,2.94
Fiber,Tortilla,0.98
Sugar,Tortilla,0.49
Vitamin A,Tortilla,0
Vitamin C,Tortilla,0
Calcium,Tortilla,0.0735
Iron,Tortilla,0.001
Protein,Crackers,1.12
Carbohydrates,Crackers,9.92
Fat,Crackers,2.88
Fiber,Crackers,0.48
Sugar,Crackers,0.48
Vitamin A,Crackers,0
Vitamin C,Crackers,0
Calcium,Crackers,0.0032
Iron,Crackers,0.0002
Protein,Chicken Breast,26.35
Carbohydrates,Chicken Breast,0
Fat,Chicken Breast,3.06
Fiber,Chicken Breast,0
Sugar,Chicken Breast,0
Vitamin A,Chicken Breast,0
Vitamin C,Chicken Breast,0
Calcium,Chicken Breast,0.0093
Iron,Chicken Breast,0.0006
Protein,Ground Beef,22.1
Carbohydrates,Ground Beef,0
Fat,Ground Beef,17
Fiber,Ground Beef,0
Sugar,Ground Beef,0
Vitamin A,Ground Beef,0
Vitamin C,Ground Beef,0
Calcium,Ground Beef,0.0153
Iron,Ground Beef,0.0018
Protein,Salmon,21.25
Carbohydrates,Salmon,0
Fat,Salmon,11.05
Fiber,Salmon,0
Sugar,Salmon,0
Vitamin A,Salmon,0
Vitamin C,Salmon,0
Calcium,Salmon,0.0077
Iron,Salmon,0.0006
Protein,Tuna,24.65
Carbohydrates,Tuna,0
Fat,Tuna,0.85
Fiber,Tuna,0
Sugar,Tuna,0
Vitamin A,Tuna,0
Vitamin C,Tuna,0
Calcium,Tuna,0.0085
Iron,Tuna,0.0008
Protein,Eggs,6.3
Carbohydrates,Eggs,0.55
Fat,Eggs,5.3
Fiber,Eggs,0
Sugar,Eggs,0.55
Vitamin A,Eggs,0.0001
Vitamin C,Eggs,0
Calcium,Eggs,0.025
Iron,Eggs,0.0006
Protein,Turkey Breast,24.65
